gene,W_observed,W_std_observed,W_null_mean,W_null_std,z_score,p_value_perm
AP006222.2,0.024543411397042726,0.5839062753049837,0.027810830835805215,0.002552569750107414,-1.2800509912118934,0.88055972013993
RP4-669L17.2,0.040678930042948376,0.9677824382486612,0.04252758923277626,0.0035026090570679353,-0.5277948979482703,0.6981509245377311
RP4-669L17.10,0.02461428209443673,0.585592342668406,0.029538413480653395,0.0030946841204269483,-1.5911579969387295,0.9335332333833083
OR4F29,0.042700243732453735,1.0158710160167974,0.047640145701810264,0.004969530041814573,-0.9940380534559988,0.8140929535232384
SAMD11,0.02476514629540646,0.5891815158375324,0.025825154008326662,0.002121733940822639,-0.49959502109355364,0.7006496751624188
MRPL20,0.021657166794123796,0.5152403385105344,0.023242894813905256,0.0024923747228502145,-0.6362317853906422,0.7266366816591704
VWA1,0.021509299015976178,0.5117224525011672,0.02348341716793315,0.002620589095060676,-0.7533108321628031,0.7481259370314842
ATAD3B,0.04761347413461546,1.1327604743496815,0.04884654671939062,0.003527424293170324,-0.3495674130165147,0.6571714142928535
TMEM240,0.03518810950565813,0.8371516748054192,0.03536570374768971,0.0032654045718232432,-0.05438659685967598,0.5367316341829086
CDK11B,0.026909849676154177,0.640205627458678,0.027803753410374315,0.0030353027164921674,-0.2945023339395945,0.6126936531734133
RP11-181G12.2,0.050639715003528867,1.2047570279402657,0.049766241040697136,0.003968471281792456,0.2201033851093197,0.42778610694652675
ARHGEF16,0.0406154292671223,0.9662717068799954,0.040193304204599566,0.004009717974875002,0.10527549946597715,0.4707646176911544
PLEKHG5,0.04900060637495059,1.1657613969478797,0.044940171633947174,0.0037903375250434527,1.071259410059198,0.13793103448275862
RP11-334N17.1,0.024802317668838066,0.5900658508575222,0.026701017453741174,0.0025458006336449997,-0.7458163690471982,0.7461269365317341
SLC45A1,0.057086658007448714,1.3581346662654719,0.057760166901201074,0.004818509368413529,-0.1397753625151007,0.5697151424287856
SPSB1,0.04374076762971002,1.0406258646148185,0.042866903147913936,0.003637400363659402,0.24024423885991744,0.4207896051974013
PEX14,0.028309131007443054,0.6734955860972369,0.030332792422303585,0.003046635656568849,-0.664228231720888,0.7286356821589205
RP4-635E18.9,0.025957708788979534,0.6175534773560759,0.029651282646222663,0.003947864456134015,-0.9355878091265672,0.8265867066466767
RP11-56N19.5,0.04132975244207911,0.9832659941738684,0.04176754933282271,0.0038678689677587312,-0.11318813910002821,0.5432283858070964
PRAMEF1,0.03967745447927503,0.9439565789688089,0.04349754138383983,0.003603703612541418,-1.0600446971472084,0.8370814592703648
PRAMEF2,0.045760424313287584,1.0886750209617104,0.046301156653280946,0.004013498619047173,-0.13472842308382804,0.5372313843078461
PRAMEF14,0.056799386081665675,1.3513002504024891,0.0547093163735735,0.0046534938979120085,0.44913988369676544,0.34832583708145926
EFHD2,0.04727432291892724,1.1246918110365804,0.048208542396329525,0.003768316643970348,-0.24791427198587854,0.5962018990504747
CLCNKA,0.039437795445451555,0.938254909729792,0.04086146670442737,0.004887877617339781,-0.2912657333983325,0.6011994002998501
RP11-276H7.2,0.055241617540644376,1.3142397614647279,0.0538667611238848,0.004031328966316638,0.34104297323462274,0.36731634182908546
RP5-875O13.1,0.023921074835273518,0.5691004189433635,0.025558140260560996,0.00247473206828619,-0.6615121880329963,0.7411294352823589
MRTO4,0.03582441834261362,0.8522899421358969,0.0386319005050465,0.004245104789105511,-0.6613457857714037,0.7136431784107946
