sample_id	time_point	sample_type	n_cells	mean_route_score	median_route_score	std_route_score
1	0	0	6778	0.12283000821527468	0.15887101786271818	0.13044999361284804
2	3	3	7093	-0.03063883485669393	0.007142126056652836	0.17604278521524225
3	3	3	7273	-0.04676790013256799	-0.00956414774811466	0.18611797520397488
4	7	7	4770	0.07917505547601447	0.10687784989789573	0.11736418318296973
5	7	7	3515	0.06356563816344361	0.09414830920381487	0.13034448244697033
6	14	14_high	5380	-0.01424443374757511	0.02954642033652442	0.18015650996398616
7	14	14_med	4221	-0.030648642696494883	0.012460823865549515	0.18317520335474743
8	14	14_low	2690	-0.07744261754151528	-0.03546685296010153	0.2187333547107246
9	14	14_high	5449	-0.013271855958424615	0.0313960086935217	0.17605082893752322
10	14	14_med	5097	-0.033670410543751146	0.007880020707222256	0.18471414317778598
11	14	14_low	4153	-0.0524718983664911	-0.016357897737786484	0.19828741723209745
