cell_line	state	branch_score
PC9	osi_acute	2.748064268010548
PC9	osi_DTP	2.7142543360501072
PC9	short_wash	2.149622169390785
PC9	long_wash	1.655152177784093
HCC827	osi_acute	1.411618215539514
HCC827	osi_DTP	0.7580528110337137
HCC827	short_wash	0.6540165086574604
HCC827	long_wash	0.923020538084308
H1975	osi_acute	1.65407988392254
H1975	osi_DTP	1.2078843005890234
H1975	short_wash	0.8355105325474549
H1975	long_wash	1.2206648079139364
HCC2935	osi_acute	1.2639750438218114
HCC2935	osi_DTP	0.5351494186440378
HCC2935	short_wash	0.16500370083368404
HCC2935	long_wash	0.22046847825165558
