gene,group,expression
XBP1,BHLHE40_perturbed,0.8071984044467008
XBP1,BHLHE40_perturbed,1.2460625232084925
XBP1,BHLHE40_perturbed,1.3566849196664112
XBP1,BHLHE40_perturbed,0.8667706965587306
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.7084404228977988
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.4686277429281229
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,1.4441721476978615
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.5839722928266483
XBP1,BHLHE40_perturbed,0.5938594307643568
XBP1,BHLHE40_perturbed,0.5882848766880155
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.6881843912178163
XBP1,BHLHE40_perturbed,0.6860730211024284
XBP1,BHLHE40_perturbed,0.7248376680265018
XBP1,BHLHE40_perturbed,1.0105203458654095
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,1.2615824788567171
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.5589202473921472
XBP1,BHLHE40_perturbed,1.2485823232132927
XBP1,BHLHE40_perturbed,0.6287136775380956
XBP1,BHLHE40_perturbed,0.4864954368756621
XBP1,BHLHE40_perturbed,0.7176682505337176
XBP1,BHLHE40_perturbed,0.5193416222923182
XBP1,BHLHE40_perturbed,1.3021995009624565
XBP1,BHLHE40_perturbed,1.2182133330929055
XBP1,BHLHE40_perturbed,1.2035451963970119
XBP1,BHLHE40_perturbed,1.1215963189026867
XBP1,BHLHE40_perturbed,2.2004309929089914
XBP1,BHLHE40_perturbed,0.5177194061366098
XBP1,BHLHE40_perturbed,0.5986932616520296
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.7047456420492189
XBP1,BHLHE40_perturbed,0.5268147364786229
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.6757147870284483
XBP1,BHLHE40_perturbed,0.619937253897112
XBP1,BHLHE40_perturbed,0.5252009398987981
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.8327847947310909
XBP1,BHLHE40_perturbed,1.4871928820742655
XBP1,BHLHE40_perturbed,1.2906217968216562
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.6292451576526167
XBP1,BHLHE40_perturbed,0.638192711096703
XBP1,BHLHE40_perturbed,0.6475809994117147
XBP1,BHLHE40_perturbed,0.6006198214195745
XBP1,BHLHE40_perturbed,0.6044361827430663
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.6599802691369229
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.7931888494529467
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,1.305653674596986
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.8516644286582241
XBP1,BHLHE40_perturbed,0.5167619606809406
XBP1,BHLHE40_perturbed,0.6488863852388086
XBP1,BHLHE40_perturbed,0.0
XBP1,BHLHE40_perturbed,0.6213691009084277
XBP1,BHLHE40_perturbed,0.6037590807429879
XBP1,BHLHE40_perturbed,1.3560964898367815
